report_date,Total cases,Total deaths,Total cases_raw,Total deaths_raw,CFR_percent
2014-08-29,1026.0,422.0,1026.0,422.0,41.13
2014-09-05,1261.0,491.0,1261.0,491.0,38.94
2014-09-08,1361.0,509.0,1361.0,509.0,37.4
2014-09-12,1424.0,524.0,1424.0,524.0,36.8
2014-09-16,1620.0,562.0,1620.0,562.0,34.69
2014-09-18,1673.0,562.0,1673.0,562.0,33.59
2014-09-22,1813.0,593.0,1813.0,593.0,32.71
2014-09-24,1940.0,597.0,1940.0,597.0,30.77
2014-09-26,2021.0,605.0,2021.0,605.0,29.94
2014-10-01,2304.0,622.0,2304.0,622.0,27.0
2014-10-03,2437.0,623.0,2437.0,623.0,25.56
2014-10-08,2789.0,879.0,2789.0,879.0,31.52
2014-10-10,2950.0,930.0,2950.0,930.0,31.53
2014-10-15,3252.0,1183.0,3252.0,1183.0,36.38
2014-10-17,3410.0,1200.0,3410.0,1200.0,35.19
2014-10-22,3706.0,1259.0,3706.0,1259.0,33.97
2014-10-25,3896.0,1281.0,3896.0,1281.0,32.88
2014-10-29,5235.0,1500.0,5235.0,1500.0,28.65
2014-10-31,5338.0,1510.0,5338.0,1510.0,28.29
2014-11-05,5338.0,1510.0,4759.0,1070.0,28.29
2014-11-07,5338.0,1510.0,4862.0,1130.0,28.29
2014-11-12,5368.0,1510.0,5368.0,1169.0,28.13
2014-11-14,5586.0,1510.0,5586.0,1187.0,27.03
2014-11-19,6073.0,1510.0,6073.0,1250.0,24.86
2014-11-21,6190.0,1510.0,6190.0,1267.0,24.39
2014-11-26,6599.0,1510.0,6599.0,1398.0,22.88
2014-12-01,7109.0,1530.0,7109.0,1530.0,21.52
2014-12-03,7312.0,1583.0,7312.0,1583.0,21.65
2014-12-10,7897.0,1768.0,7897.0,1768.0,22.39
2014-12-15,8273.0,2033.0,8273.0,2033.0,24.57
2014-12-17,8356.0,2085.0,8356.0,2085.0,24.95
2014-12-19,8759.0,2477.0,8759.0,2477.0,28.28
2014-12-22,8939.0,2556.0,8939.0,2556.0,28.59
2014-12-23,9004.0,2582.0,9004.0,2582.0,28.68
2014-12-26,9203.0,2655.0,9203.0,2655.0,28.85
2014-12-29,9409.0,2732.0,9409.0,2732.0,29.04
2014-12-30,9446.0,2758.0,9446.0,2758.0,29.2
2015-01-02,9633.0,2827.0,9633.0,2827.0,29.35
2015-01-05,9772.0,2915.0,9772.0,2915.0,29.83
2015-01-06,9780.0,2943.0,9780.0,2943.0,30.09
2015-01-14,10124.0,3062.0,10124.0,3062.0,30.24
2015-01-21,10340.0,3145.0,10340.0,3145.0,30.42
2015-01-28,10518.0,3199.0,10518.0,3199.0,30.41
2015-02-04,10740.0,3276.0,10740.0,3276.0,30.5
2015-02-11,10934.0,3341.0,10934.0,3341.0,30.56
2015-02-18,11103.0,3408.0,11103.0,3408.0,30.69
2015-02-25,11301.0,3461.0,11301.0,3461.0,30.63
2015-03-04,11466.0,3546.0,11466.0,3546.0,30.93
2015-03-11,11619.0,3629.0,11619.0,3629.0,31.23
2015-03-18,11751.0,3691.0,11751.0,3691.0,31.41
2015-03-25,11841.0,3747.0,11841.0,3747.0,31.64
2015-04-01,11974.0,3799.0,11974.0,3799.0,31.73
2015-04-08,12138.0,3831.0,12138.0,3831.0,31.56
2015-04-15,12201.0,3857.0,12201.0,3857.0,31.61
2015-04-22,12267.0,3877.0,12267.0,3877.0,31.61
2015-04-29,12317.0,3899.0,12317.0,3899.0,31.66
2015-05-06,12440.0,3903.0,12440.0,3903.0,31.37
2015-05-13,12523.0,3904.0,12523.0,3904.0,31.17
2015-05-20,12632.0,3907.0,12632.0,3907.0,30.93
2015-05-27,12706.0,3908.0,12706.0,3908.0,30.76
2015-06-03,12827.0,3912.0,12827.0,3912.0,30.5
2015-06-10,12901.0,3915.0,12901.0,3915.0,30.35
2015-06-17,12965.0,3919.0,12965.0,3919.0,30.23
2015-06-24,13059.0,3928.0,13059.0,3928.0,30.08
2015-07-01,13119.0,3932.0,13119.0,3932.0,29.97
2015-07-08,13155.0,3940.0,13155.0,3940.0,29.95
2015-07-15,13209.0,3947.0,13209.0,3947.0,29.88
2015-07-22,13250.0,3949.0,13250.0,3949.0,29.8
2015-07-29,13290.0,3951.0,13290.0,3951.0,29.73
2015-08-05,13406.0,3951.0,13406.0,3951.0,29.47
2015-08-12,13470.0,3951.0,13470.0,3951.0,29.33
2015-08-19,13494.0,3952.0,13494.0,3952.0,29.29
2015-08-26,13494.0,3952.0,13451.0,3952.0,29.29
2015-09-02,13609.0,3953.0,13609.0,3953.0,29.05
2015-09-09,13683.0,3953.0,13683.0,3953.0,28.89
2015-09-16,13756.0,3953.0,13756.0,3953.0,28.74
2015-09-23,13823.0,3955.0,13823.0,3955.0,28.61
2015-09-30,13911.0,3955.0,13911.0,3955.0,28.43
2015-10-07,13945.0,3955.0,13945.0,3955.0,28.36
2015-10-14,13982.0,3955.0,13982.0,3955.0,28.29
2015-10-21,14001.0,3955.0,14001.0,3955.0,28.25
2015-10-28,14061.0,3955.0,14061.0,3955.0,28.13
2015-11-04,14089.0,3955.0,14089.0,3955.0,28.07
2015-11-11,14122.0,3955.0,14122.0,3955.0,28.01
